row_index,token_count,sum_score,mean_score
0,2047,-69.625,-0.03401319003419639
1,2047,-49.49951171875,-0.024181490824987786
2,2047,-50.13330078125,-0.024491109321568148
3,2047,-96.205322265625,-0.04699820335399365
4,2047,-35.49853515625,-0.017341736764167073
5,2047,-55.0166015625,-0.026876698369565216
6,2047,-76.270263671875,-0.037259532814789935
7,2047,-34.2001953125,-0.016707472062774793
8,2047,-64.6669921875,-0.03159110512335125
9,2047,-52.41357421875,-0.025605068011113827
10,2047,-57.385986328125,-0.028034189705972153
11,2047,-69.30078125,-0.03385480276013678
12,2047,68.8916015625,0.03365491038715193
13,2047,-80.937744140625,-0.0395396893701148
14,2047,-20.416015625,-0.009973627564728872
15,2047,-59.283447265625,-0.02896113691530288
16,2047,-43.794921875,-0.02139468582071324
17,2047,-50.63525390625,-0.024736323354298973
18,2047,-61.815673828125,-0.03019817969131656
19,2047,-49.60009765625,-0.02423062904555447
20,2047,-69.11083984375,-0.0337620126251832
21,2047,-74.291748046875,-0.03629298878694431
22,2047,-99.02734375,-0.04837681668295066
23,2047,-69.0166015625,-0.03371597536028334
24,2047,-78.103515625,-0.03815511266487543
25,2047,-64.8876953125,-0.0316989229665364
26,2047,-63.51025390625,-0.03102601558683439
27,2047,-52.72314453125,-0.025756299233634587
28,2047,-82.140625,-0.040127320468978996
29,2047,-89.119873046875,-0.04353682122465804
30,2047,-99.865234375,-0.04878614283097216
31,2047,-71.1337890625,-0.03475026334269663
32,2047,-56.6455078125,-0.027672451300683926
33,2047,-49.9423828125,-0.02439784211651197
34,2047,-21.07373046875,-0.010294934278822667
35,2047,-57.2109375,-0.02794867489008305
36,2047,-93.8623046875,-0.04585359291035662
37,2047,-71.17236328125,-0.0347691076117489
38,2047,-64.62109375,-0.03156868282852956
39,2047,-84.86328125,-0.04145739191499756
40,2047,-40.20654296875,-0.01964169172874939
41,2047,-71.71142578125,-0.035032450308378114
42,2047,-51.9619140625,-0.02538442308866634
43,2047,-58.214111328125,-0.028438745152967758
44,2047,-78.93505859375,-0.038561337857230094
45,2047,-39.8955078125,-0.019489744901074742
46,2047,-56.04052734375,-0.027376906372129948
47,2047,-53.802490234375,-0.026283580964521252
48,2047,-64.169921875,-0.03134827644113337
49,2047,44.33056640625,0.02165635877198339
50,2047,-71.56982421875,-0.034963275143502684
51,2047,-38.97998046875,-0.01904249167989741
52,2047,-82.39013671875,-0.040249211880190525
53,2047,-65.66748046875,-0.032079863443453836
54,2047,-48.06201171875,-0.023479243633976552
55,2047,-60.62548828125,-0.029616750503786027
56,2047,-43.313232421875,-0.02115937099261114
57,2047,41.07666015625,0.020066761190156327
58,2047,-80.76171875,-0.039453697484123106
59,2047,-87.2158203125,-0.04260665379213483
60,2047,-45.018798828125,-0.021992573926783096
61,2047,-76.669921875,-0.03745477375427455
62,2047,-49.02099609375,-0.0239477264747191
63,2047,-73.08349609375,-0.035702733802515874
64,2047,-21.40966796875,-0.010459046394113337
65,2047,-112.94140625,-0.05517411150464094
66,2047,59.94189453125,0.02928280143197362
67,2047,-27.63232421875,-0.01349893708781143
68,2047,-62.18359375,-0.030377915852467026
69,2047,-61.29541015625,-0.02994402059416219
70,2047,-59.2705078125,-0.028954815736443575
71,2047,-75.489013671875,-0.03687787673271861
72,2047,-49.48828125,-0.02417600451880801
73,2047,-65.36865234375,-0.031933879992061556
74,2047,-74.142578125,-0.03622011632877382
75,2047,-84.69873046875,-0.041377005602711285
76,2047,-50.56689453125,-0.024702928447117734
77,2047,-59.88427734375,-0.02925465429592086
78,2047,-87.80419921875,-0.042894088528944795
79,2047,-38.325439453125,-0.01872273544363703
80,2047,-129.98583984375,-0.06350065454018075
81,2047,-99.87353515625,-0.048790197926844164
82,2047,-71.345703125,-0.03485378755495848
83,2047,-88.8388671875,-0.04339954430263801
84,2047,-42.88623046875,-0.02095077209025403
85,2047,-61.83056640625,-0.030205455010381046
86,2047,-68.61328125,-0.03351894540791402
87,2047,-46.75830078125,-0.02284235504702003
88,2047,-50.689697265625,-0.02476292001251832
89,2047,-11.43359375,-0.005585536761113825
90,2047,-79.595703125,-0.03888407578163166
91,2047,-40.82861328125,-0.01994558538409868
92,2047,-61.15771484375,-0.02987675370969712
93,2047,-95.1552734375,-0.04648523372618466
94,2047,-42.97900390625,-0.02099609375
95,2047,-79.8623046875,-0.0390143159196385
96,2047,-143.767578125,-0.0702333063629702
97,2047,-77.53076171875,-0.037875311049706886
98,2047,-67.38330078125,-0.03291807561370298
99,2047,-69.515625,-0.0339597581827064
100,2047,-70.353515625,-0.0343690843307279
101,2047,-56.939453125,-0.027816049401563264
102,2047,-65.130859375,-0.0318177134220811
103,2047,-65.23779296875,-0.031869952598314606
104,2047,-85.3251953125,-0.041683046073522224
105,2047,-64.02734375,-0.03127862420615535
106,2047,-93.95751953125,-0.04590010724535906
107,2047,-57.57666015625,-0.028127337643502687
108,2047,-45.708984375,-0.022329743221787983
109,2047,-50.08642578125,-0.02446820995664387
110,2047,-102.4482421875,-0.05004799325232047
111,2047,-73.517578125,-0.035914791463116755
112,2047,-68.42724609375,-0.03342806355337079
113,2047,-64.8974609375,-0.03170369366756229
114,2047,-71.68017578125,-0.03501718406509526
115,2047,-91.6640625,-0.04477970810942843
116,2047,-88.49658203125,-0.04323233123168051
117,2047,-55.6162109375,-0.027169619412554958
118,2047,-73.8154296875,-0.036060297844406446
119,2047,-87.203125,-0.04260045188080117
120,2047,-51.115234375,-0.024970803309721543
121,2047,9.33056640625,0.00455816629518808
122,2047,-42.72265625,-0.020870862848070347
123,2047,-48.04638671875,-0.023471610512335126
124,2047,-45.62890625,-0.02229062347337567
125,2047,-71.65966796875,-0.03500716559294089
126,2047,61.55908203125,0.03007282952186126
127,2047,-71.80224609375,-0.0350768178279189
128,2047,-67.22119140625,-0.03283888197667318
129,2047,-86.904296875,-0.04245446842940889
130,2047,-87.2568359375,-0.042626690736443575
131,2047,-62.58984375,-0.030576377015144113
132,2047,-79.13916015625,-0.03866104550867123
133,2047,-32.57470703125,-0.015913388877015145
134,2047,-38.8984375,-0.019002656326331215
135,2047,-20.3994140625,-0.009965517372984857
136,2047,-21.87841796875,-0.01068804004335613
137,2047,-68.41552734375,-0.03342233871213972
138,2047,-91.23583984375,-0.04457051286944309
139,2047,-45.37890625,-0.022168493527112847
140,2047,-75.19287109375,-0.03673320522410845
141,2047,-72.630859375,-0.035481611809965806
142,2047,-78.49755859375,-0.03834761045127015
143,2047,-89.20849609375,-0.043580115336468
144,2047,-37.20947265625,-0.018177563583903274
145,2047,-61.115234375,-0.02985600116023449
146,2047,-79.94189453125,-0.03905319713299951
147,2047,-61.2158203125,-0.029905139380801173
148,2047,-76.037109375,-0.037145632327796774
149,2047,-36.2333984375,-0.017700732016365413
150,2047,-67.7978515625,-0.033120591872252074
151,2047,-70.75830078125,-0.0345668298882511
152,2047,-118.853515625,-0.058062293905715684
153,2047,-76.5693359375,-0.03740563553370786
