parent_id	result_id
2501.11012	2501.11012:multilingual-luxveri
2501.11012	2501.11012:multilingual-baseline
2501.11012	2501.11012:multilingual-techexperts-ipn
2501.11012	2501.11012:multilingual-azlearning
2501.11012	2501.11012:multilingual-nampfiev1995
2501.11012	2501.11012:multilingual-starlight1
2501.11012	2501.11012:multilingual-abit7431
2501.11012	2501.11012:multilingual-fraunhofer-sit
2501.11012	2501.11012:multilingual-mail6djj
2501.11012	2501.11012:multilingual-saehyunma
2501.11012	2501.11012:multilingual-seven
2501.11012	2501.11012:multilingual-jojoc
2501.11012	2501.11012:multilingual-yaoxy
2501.11012	2501.11012:multilingual-bennben
2501.11012	2501.11012:multilingual-fangsifan
2501.11012	2501.11012:multilingual-yuwert777
2501.11012	2501.11012:multilingual-honghanhh
2501.11012	2501.11012:multilingual-tmarchitan
2501.11012	2501.11012:multilingual-sohailwaleed2
2501.09813	2501.09813:qwen2.5-0.5b
2510.16573	2510.16573:distilbert-multilingual
2510.16573	2510.16573:xlm-roberta-base
2502.12611	2502.12611:fastdetectgpt
2502.12611	2502.12611:detectgpt
2502.12611	2502.12611:gltr
2502.12611	2502.12611:chatgpt-roberta
2502.12611	2502.12611:radar
2502.12611	2502.12611:xgb-classifier
2502.12611	2502.12611:extra-trees
2502.12611	2502.12611:mlp-classifier
2502.12611	2502.12611:linear-svc
2502.12611	2502.12611:random-forest
2502.12611	2502.12611:linear-discriminant-analysis
2502.12611	2502.12611:logistic-regression
2502.12611	2502.12611:bagging-classifier
2502.12611	2502.12611:voting-classifier
2502.12611	2502.12611:decision-tree
2502.12611	2502.12611:gradient-boosting
2502.12611	2502.12611:adaboost
2502.12611	2502.12611:extra-tree
2502.12611	2502.12611:bernoulli-nb
2501.08913	2501.08913:alert-v1.2
2501.08913	2501.08913:lux-rb-roai
2501.08913	2501.08913:lux-roai-bert
2501.08913	2501.08913:lux-finetuned-rb
2501.08913	2501.08913:lux-radar-r-l
2501.08913	2501.08913:cnlp-adv-submission-3
2501.08913	2501.08913:cnlp-adv-new-detector
2501.08913	2501.08913:ustc-roberta-dataaug
2501.08913	2501.08913:binoculars
2501.08913	2501.08913:mosaic-5
2501.08913	2501.08913:gltr
2501.08913	2501.08913:openai-roberta-large
2605.15518	2605.15518:gecscore
2605.15518	2605.15518:biscope
2604.11796	2604.11796:log-likelihood
2604.11796	2604.11796:entropy
2604.11796	2604.11796:log-rank
2604.11796	2604.11796:lrr
2604.11796	2604.11796:fastdetectgpt
2604.11796	2604.11796:lastde-plus-plus
2604.11796	2604.11796:dna-detectllm
2603.27949	2603.27949:fastdetectgpt-qwen
2603.27949	2603.27949:fastdetectgpt-analytical-qwen
2603.27949	2603.27949:fastdetectgpt-analytical-glm
2603.27949	2603.27949:binoculars-qwen
2603.27949	2603.27949:chinese-roberta
2603.27949	2603.27949:chinese-roberta-extreme-short
2603.27949	2603.27949:glm-lora
2603.27949	2603.27949:hybrid-feature-roberta
2603.27949	2603.27949:hybrid-feature-roberta-extreme-short
2603.18750	2603.18750:transformer-dten
2603.18750	2603.18750:rephrase
2603.18750	2603.18750:writer
2512.21709	2512.21709:zeroshot-banglabert
2512.21709	2512.21709:zeroshot-indicbert
