#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:02:08       1  35303      4      0    100     90      0      0      0      0 
 20260814    13:02:09       0  35305      4      0      0      0      0      0      0      0 
 20260814    13:02:09       1  35303      4      0     33     37      0      0      0      0 
 20260814    13:02:10       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:02:10       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:02:11       0  35305      4      0      5      4      0      0      0      0 
 20260814    13:02:11       1  35303      4      0     67     61      0      0      0      0 
 20260814    13:02:12       0  35305      4      0    100     82      0      0      0      0 
 20260814    13:02:12       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:02:13       0  35305      4      0     43     44      0      0      0      0 
 20260814    13:02:13       1  35303      4      0    100     95      0      0      0      0 
 20260814    13:02:14       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:02:14       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:02:15       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:02:15       1  35303      4      0    100     90      0      0      0      0 
 20260814    13:02:16       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:02:16       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:02:17       0  35305      4      0    100     94      0      0      0      0 
 20260814    13:02:17       1  35303      4      0    100     93      0      0      0      0 
 20260814    13:02:18       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:02:18       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:02:19       0  35305      4      0    100     88      0      0      0      0 
 20260814    13:02:19       1  35303      4      0    100     85      0      0      0      0 
 20260814    13:02:20       0  35305      4      0    100     87      0      0      0      0 
 20260814    13:02:20       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:02:21       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:02:21       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:02:22       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:02:22       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:02:23       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:02:23       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:02:24       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:02:24       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:02:25       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:02:25       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:02:26       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:02:26       1  35303      4      0    100     83      0      0      0      0 
 20260814    13:02:27       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:02:27       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:02:28       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:02:28       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:02:29       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:02:29       1  35303      4      0    100     89      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:02:30       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:02:30       1  35303      4      0    100     79      0      0      0      0 
 20260814    13:02:31       0  35305      4      0    100     85      0      0      0      0 
 20260814    13:02:31       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:02:32       0  35305      4      0    100     72      0      0      0      0 
 20260814    13:02:32       1  35303      4      0    100     85      0      0      0      0 
 20260814    13:02:33       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:02:33       1  35303      4      0    100     89      0      0      0      0 
 20260814    13:02:34       0  35305      4      0    100     61      0      0      0      0 
 20260814    13:02:34       1  35303      4      0    100     61      0      0      0      0 
 20260814    13:02:35       0  35305      4      0    100     95      0      0      0      0 
 20260814    13:02:35       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:02:36       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:02:36       1  35303      4      0    100     87      0      0      0      0 
 20260814    13:02:37       0  35305      4      0    100     61      0      0      0      0 
 20260814    13:02:37       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:02:38       0  35305      4      0    100     82      0      0      0      0 
 20260814    13:02:38       1  35303      4      0    100     85      0      0      0      0 
 20260814    13:02:39       0  35305      4      0    100    100      0      0      0      0 
 20260814    13:02:39       1  35303      4      0    100     66      0      0      0      0 
 20260814    13:02:40       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:02:40       1  35303      4      0    100     85      0      0      0      0 
 20260814    13:02:41       0  35305      4      0     46     56      0      0      0      0 
 20260814    13:02:41       1  35303      4      0    100    100      0      0      0      0 
 20260814    13:02:42       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:02:42       1  35303      4      0    100     82      0      0      0      0 
 20260814    13:02:43       0  35305      4      0      0      0      0      0      0      0 
 20260814    13:02:43       1  35303      4      0     65     79      0      0      0      0 
 20260814    13:02:44       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:02:44       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:02:45       0  35305      4      0      0      0      0      0      0      0 
 20260814    13:02:45       1  35303      4      0     16     19      0      0      0      0 
 20260814    13:02:46       0  35305      4      0    100     89      0      0      0      0 
 20260814    13:02:46       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:02:47       0  35305      4      0      0      0      0      0      0      0 
 20260814    13:02:47       1  35303      4      0     20     24      0      0      0      0 
 20260814    13:02:48       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:02:48       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:02:49       0  35305      4      0     15     15      0      0      0      0 
 20260814    13:02:49       1  35303      4      0      0      0      0      0      0      0 
 20260814    13:02:50       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:02:50       1  35303      4      0    100     89      0      0      0      0 
 20260814    13:02:51       0  35305      4      0     34     37      0      0      0      0 
 20260814    13:02:51       1  35303      4      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:02:52       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:02:52       1  35303      4      0    100     91      0      0      0      0 
 20260814    13:02:53       0  35305      4      0     69     62      0      0      0      0 
 20260814    13:02:53       1  35303      4      0     31     34      0      0      0      0 
 20260814    13:02:54       0  35305      4      0    100     79      0      0      0      0 
 20260814    13:02:54       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:02:55       0  35305      4      0    100     95      0      0      0      0 
 20260814    13:02:55       1  35303      4      0     64     59      0      0      0      0 
 20260814    13:02:56       0  35305      4      0    100     94      0      0      0      0 
 20260814    13:02:56       1  35303      4      0    100     90      0      0      0      0 
 20260814    13:02:57       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:02:57       1  35303      4      0     93     89      0      0      0      0 
 20260814    13:02:58       0  35305      4      0    100     80      0      0      0      0 
 20260814    13:02:58       1  35303      4      0    100     82      0      0      0      0 
 20260814    13:02:59       0  35305      4      0    100     88      0      0      0      0 
 20260814    13:02:59       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:03:00       0  35305      4      0    100     85      0      0      0      0 
 20260814    13:03:00       1  35303      4      0    100     91      0      0      0      0 
 20260814    13:03:01       0  35305      4      0    100     91      0      0      0      0 
 20260814    13:03:01       1  35303      4      0    100     91      0      0      0      0 
 20260814    13:03:02       0  35305      4      0    100     88      0      0      0      0 
 20260814    13:03:02       1  35303      4      0    100     92      0      0      0      0 
 20260814    13:03:03       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:03:03       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:03:04       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:03:04       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:03:05       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:03:05       1  35303      4      0    100     89      0      0      0      0 
 20260814    13:03:06       0  35305      4      0    100     87      0      0      0      0 
 20260814    13:03:06       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:03:07       0  35305      4      0    100     84      0      0      0      0 
 20260814    13:03:07       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:03:08       0  35305      4      0    100     87      0      0      0      0 
 20260814    13:03:08       1  35303      4      0    100     81      0      0      0      0 
 20260814    13:03:09       0  35305      4      0    100     88      0      0      0      0 
 20260814    13:03:09       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:03:10       0  35305      4      0    100     88      0      0      0      0 
 20260814    13:03:10       1  35303      4      0    100     82      0      0      0      0 
 20260814    13:03:11       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:03:11       1  35303      4      0    100     93      0      0      0      0 
 20260814    13:03:12       0  35305      4      0    100     81      0      0      0      0 
 20260814    13:03:12       1  35303      4      0    100     85      0      0      0      0 
 20260814    13:03:13       0  35305      4      0    100     92      0      0      0      0 
 20260814    13:03:13       1  35303      4      0    100     81      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:03:14       0  35305      4      0    100     93      0      0      0      0 
 20260814    13:03:14       1  35303      4      0    100     88      0      0      0      0 
 20260814    13:03:15       0  35305      4      0    100     83      0      0      0      0 
 20260814    13:03:15       1  35303      4      0    100     86      0      0      0      0 
 20260814    13:03:16       0  35305      4      0    100     86      0      0      0      0 
 20260814    13:03:16       1  35303      4      0    100     80      0      0      0      0 
 20260814    13:03:17       0  35305      4      0    100     94      0      0      0      0 
 20260814    13:03:17       1  35303      4      0    100     87      0      0      0      0 
 20260814    13:03:19       0  35305      4      0    100     89      0      0      0      0 
