model_id,model_label,n_sites,n_wrong_sites,site_accuracy,mean_pass_rate,mean_scored_pages,mean_passing_pages,mean_bino_score,median_bino_score,mean_svm_margin,median_svm_margin,mean_abs_svm_margin,wrong_rate
global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku 4.5,20,5,0.75,0.9349999999999999,18.7,18.7,0.9040148729946524,0.90625,1.5913742666901443,1.6456040921846977,2.6058788585564088,0.25
global.anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,20,2,0.9,0.925,18.5,18.5,0.8905442975439057,0.892578125,2.9527073559559254,3.3403143014523664,3.031417956087944,0.1
global.anthropic.claude-sonnet-4-6,Claude Sonnet 4.6,20,17,0.15000000000000002,0.7925,15.850000000000001,15.850000000000001,0.9551396148762317,0.9541015625,-2.99322013723741,-3.370072739829908,3.320685935899641,0.85
us.deepseek.r1-v1:0,DeepSeek R1,10,10,0.0,0.065,3.3000000000000003,1.2999999999999998,1.072265625,1.076171875,-12.387934725399923,-13.395418391064055,12.387934725399923,1.0
openai.gpt-oss-120b-1:0,GPT-OSS-120B,10,0,1.0,0.595,11.899999999999999,11.899999999999999,0.8865931201758148,0.8896484375,3.240183258200699,3.1313481064115365,3.240183258200699,0.0
